Detection,Distance (Mpc),Mstar,Lx,Llim
0,17.1,12.0,38.5,38.0
1,23.3,12.0,39.3,38.0
0,16.8,11.9,38.7,38.0
1,17.2,11.8,41.2,38.0
1,18.4,11.8,39.8,38.0
1,17.3,11.8,39.1,38.0
1,28.6,11.7,39.7,38.0
0,17.9,11.7,38.5,38.0
1,29.0,11.5,41.2,38.0
1,30.9,11.5,39.6,38.0
1,22.2,11.4,39.8,38.0
1,27.4,11.4,39.4,38.0
0,24.7,11.3,38.9,38.0
0,20.0,11.3,38.4,38.0
1,15.8,11.3,39.5,38.0
1,24.8,11.2,39.2,38.0
0,26.8,11.2,38.6,38.0
1,14.9,11.2,39.0,38.0
1,22.7,11.2,39.4,38.0
1,23.7,11.2,39.1,38.0
1,16.7,11.2,39.8,38.0
1,32.5,11.1,39.5,38.0
1,33.7,11.1,39.5,38.0
1,19.9,11.1,39.0,38.0
0,22.1,11.1,38.6,38.0
1,23.3,11.0,38.9,38.0
1,14.1,11.0,38.3,38.0
0,16.3,11.0,38.2,38.0
1,21.1,11.0,40.2,38.0
1,17.5,10.9,40.5,38.0
1,25.2,10.9,38.9,38.0
1,19.5,10.9,39.4,38.0
1,16.1,10.9,38.6,38.0
1,32.2,10.9,39.5,38.0
1,18.5,10.9,40.2,38.0
1,15.0,10.9,40.8,38.0
0,26.1,10.9,38.4,38.0
1,16.1,10.9,39.0,38.0
0,20.6,10.9,38.6,38.0
0,17.0,10.8,38.4,38.0
1,16.8,10.8,38.7,38.0
1,12.2,10.8,38.8,38.0
1,15.3,10.7,38.5,38.0
1,11.3,10.7,38.5,38.0
1,9.6,10.7,38.7,38.0
1,32.7,10.7,39.7,38.0
1,22.4,10.7,39.2,38.0
1,26.9,10.7,39.4,38.0
1,26.4,10.6,39.2,38.0
1,15.3,10.6,38.4,38.0
1,17.1,10.6,38.5,38.0
1,16.4,10.6,38.7,38.0
0,23.3,10.6,38.5,38.0
1,15.8,10.6,39.9,38.0
1,28.2,10.6,38.9,38.0
1,17.5,10.6,39.0,38.0
0,17.0,10.5,38.8,38.0
1,14.9,10.5,39.0,38.0
1,25.4,10.5,39.0,38.0
1,16.6,10.4,38.4,38.0
1,9.4,10.4,38.6,38.0
0,16.3,10.4,38.5,38.0
0,16.0,10.4,38.5,38.0
1,15.8,10.4,39.2,38.0
1,29.5,10.3,39.3,38.0
1,15.0,10.3,38.6,38.0
1,22.0,10.3,38.5,38.0
0,14.7,10.3,38.4,38.0
1,10.4,10.3,38.6,38.0
0,17.9,10.3,38.7,38.0
1,17.8,10.3,38.6,38.0
1,15.8,10.3,38.6,38.0
1,17.6,10.3,38.8,38.0
0,15.6,10.2,38.5,38.0
1,15.4,10.2,38.7,38.0
1,15.3,10.2,39.2,38.0
1,22.7,10.2,38.7,38.0
1,20.5,10.2,38.8,38.0
0,16.1,10.2,38.3,38.0
1,18.3,10.2,38.8,38.0
0,17.4,10.2,38.5,38.0
1,15.5,10.2,38.6,38.0
1,17.4,10.2,38.6,38.0
0,16.8,10.1,38.3,38.0
1,19.5,10.1,39.0,38.0
0,18.7,10.1,38.5,38.0
1,15.8,10.1,38.5,38.0
1,15.6,10.1,38.8,38.0
0,15.4,10.1,38.3,38.0
0,23.6,10.1,38.4,38.0
1,27.5,10.0,38.7,38.0
1,26.4,10.0,38.8,38.0
0,16.4,10.0,38.3,38.0
1,25.5,9.9,38.8,38.0
0,16.6,9.9,38.4,38.0
0,16.4,9.9,38.5,38.0
0,18.1,9.9,38.5,38.0
1,15.8,9.9,38.6,38.0
0,33.4,9.8,38.9,38.0
1,24.8,9.8,38.1,38.0
1,22.9,9.8,38.3,38.0
0,22.4,9.7,38.4,38.0
0,17.1,9.7,38.3,38.0
0,23.8,9.7,38.8,38.0
1,16.3,9.7,38.4,38.0
0,17.1,9.6,38.4,38.0
0,16.7,9.6,38.3,38.0
0,16.4,9.6,38.3,38.0
1,13.2,9.6,38.7,38.0
1,25.9,9.6,38.7,38.0
0,15.3,9.5,38.2,38.0
0,16.7,9.5,38.1,38.0
1,27.0,9.5,38.6,38.0
0,16.8,9.5,38.3,38.0
0,16.5,9.5,38.3,38.0
0,16.1,9.5,38.6,38.0
0,16.1,9.5,38.3,38.0
0,16.1,9.5,38.7,38.0
0,16.1,9.5,38.3,38.0
0,15.5,9.4,38.2,38.0
0,17.1,9.4,38.4,38.0
1,16.9,9.4,38.6,38.0
0,16.4,9.4,38.3,38.0
0,15.8,9.4,38.3,38.0
0,15.7,9.4,38.2,38.0
0,18.4,9.3,38.3,38.0
0,12.0,9.3,38.0,38.0
0,16.2,9.3,38.2,38.0
0,16.3,9.3,38.3,38.0
0,18.2,9.3,38.5,38.0
0,23.6,9.3,38.1,38.0
0,15.5,9.3,38.3,38.0
0,16.8,9.2,38.3,38.0
0,16.1,9.2,38.3,38.0
0,22.9,9.2,38.7,38.0
0,16.0,9.2,38.2,38.0
1,9.6,9.2,38.6,38.0
0,21.9,9.1,38.3,38.0
0,16.9,9.1,38.4,38.0
0,16.8,9.1,38.4,38.0
0,17.8,9.1,38.3,38.0
0,15.6,9.1,38.3,38.0
0,16.5,9.0,38.3,38.0
0,16.4,9.0,38.3,38.0
0,16.4,9.0,38.3,38.0
0,16.4,9.0,38.3,38.0
0,16.0,9.0,38.2,38.0
0,20.1,9.0,38.3,38.0
0,16.0,9.0,38.3,38.0
0,15.8,9.0,38.2,38.0
0,15.8,9.0,38.2,38.0
0,17.8,9.0,38.7,38.0
0,15.8,9.0,38.2,38.0
0,17.6,9.0,38.3,38.0
0,19.0,8.9,38.3,38.0
0,16.9,8.9,38.3,38.0
0,26.6,8.8,38.4,38.0
0,15.1,8.8,38.2,38.0
0,16.4,8.8,38.3,38.0
0,16.4,8.8,38.3,38.0
1,16.4,8.8,38.4,38.0
0,26.6,8.8,38.3,38.0
0,16.2,8.8,38.3,38.0
0,19.0,8.7,38.2,38.0
0,23.0,8.7,38.3,38.0
0,16.5,8.7,38.3,38.0
0,27.7,8.7,38.4,38.0
1,22.4,8.7,40.1,38.0
0,23.0,8.6,38.3,38.0
0,9.7,8.6,38.2,38.0
0,26.6,8.6,38.4,38.0
0,26.6,8.5,38.3,38.0
0,27.7,8.5,38.4,38.0
0,17.2,8.5,38.3,38.0
0,24.2,8.4,38.4,38.0
0,25.4,8.4,38.3,38.0
0,23.0,8.3,38.3,38.0
0,23.6,8.3,38.3,38.0
0,10.9,8.2,38.3,38.0
0,25.4,8.1,38.4,38.0
0,25.4,8.1,38.4,38.0
0,12.6,8.0,38.3,38.0
0,19.0,8.0,38.3,38.0
0,15.5,8.0,38.5,38.0
1,26.6,8.0,38.7,38.0
0,25.4,8.0,38.3,38.0
0,26.6,7.9,38.3,38.0
0,24.2,7.9,38.3,38.0
0,14.9,7.9,38.3,38.0
0,20.7,7.9,38.3,38.0
0,17.2,7.9,38.3,38.0
0,22.4,7.9,38.3,38.0
0,12.6,7.9,38.3,38.0
0,20.7,7.8,38.3,38.0
0,20.1,7.8,38.3,38.0
0,23.6,7.8,38.4,38.0
0,16.7,7.7,38.3,38.0
